ID,Character,Prompt,Left_Choice,Left_Piety,Left_Stability,Left_Power,Left_Wealth,Right_Choice,Right_Piety,Right_Stability,Right_Power,Right_Wealth,Requires_Card,Requires_Choice,Requires_Metric,Requires_Range,Chain_Card
001,Royal Advisor,"The advisor bows deeply, scrolls unfurled: ""Your Majesty, the council debates taxation reform. Some advocate progressive rates based on wealth.""","The nobility bears enough burden; flat rates for all.",10,-20,5,15,"Wisdom dictates that those with more should pay more.",-10,25,-5,-10,,,,,002
002,Royal Advisor,"The advisor presents financial projections: ""Your tax policy has stirred much debate, Sire. Noble houses threaten to withhold support.""",Grant tax exemptions to appease the nobility.,15,-25,10,-10,Stand firm on equality; even nobles must contribute.,-15,20,-10,20,001,Right,,,
003,Royal Seneschal,"The seneschal's keys jingle at his belt: ""The palace staff grows restless, Your Highness. They request better conditions.""","Servants should be grateful for their positions.",5,-15,0,10,"A contented staff serves best; improve their quarters.",-5,20,0,-15,,,,,004
004,Royal Seneschal,"The seneschal reports on staff morale: ""Your decision on servant conditions has consequences. Palace efficiency is affected.""",Hire strict overseers to enforce discipline.,10,-20,5,-5,Implement rewards for exceptional service.,-5,25,-5,-10,003,Right,,,
005,Master of Coin,"Gold glitters in the treasurer's ledger: ""The royal mint requires direction, Your Majesty. Shall we debase the currency?""","The crown's honor demands pure coinage.",10,10,0,-15,"Practical necessity outweighs tradition; reduce purity.",-10,-15,0,20,,,,,006
006,Master of Coin,"The treasurer presents market reports: ""Your currency decision reverberates through markets. Foreign merchants react.""",Return to pure coinage despite the cost.,15,15,0,-25,Establish exchange controls to stabilize values.,-15,-10,0,10,005,Right,,,
007,Sheriff,"The sheriff's badge gleams in the torchlight: ""Crime plagues our towns, Your Highness. Shall we increase punishments?""","Mercy weakens justice; harsher penalties for all.",5,-20,10,-5,"Justice tempered with mercy serves best; focus on rehabilitation.",-5,15,-5,-10,,,,,
008,Sheriff,"The sheriff presents crime statistics: ""Your justice policy shows results. Rural sheriffs request guidance on implementation.""",Mandatory minimum sentences for all crimes.,10,-25,15,-10,Community service for minor offenses.,-10,20,-5,-5,007,Left,,,
009,Royal Herald,"The herald's voice carries through the hall: ""Royal proclamations require consistency, Sire. Shall we standardize communication?""","Each situation deserves unique address; maintain flexibility.",0,-5,0,5,"Uniformity strengthens the crown's voice; standardize all.",-5,10,0,-10,,,,,010
010,Royal Herald,"The herald presents communication strategies: ""Your proclamation policy shapes public perception. Message control requires attention.""",Restrict announcements to minimize information flow.,5,-15,10,0,Increase transparency with regular public statements.,-10,25,-5,-5,009,Right,,,
011,Master of Ceremonies,"The master bows with perfect form: ""Court protocol influences perception, Your Majesty. Shall we revise ceremonial standards?""","Excessive formality wastes time; simplify procedures.",10,5,-5,10,"Dignity demands precision; elaborate our ceremonies.",-10,-10,5,-15,,,,,012
012,Master of Ceremonies,"The protocol master discusses cultural impact: ""Your ceremonial decisions affect court dynamics. Access questions arise.""",Restrict court functions to highest nobility only.,15,-20,10,-5,Open select ceremonies to accomplished commoners.,-15,25,-5,-10,011,Right,,,
013,Royal Diplomat,"The diplomat's silver tongue never falters: ""International relations shift constantly, Your Highness. Shall we pursue new alliances?""","Entangling alliances bring only trouble; maintain independence.",0,-5,15,5,"Strength through friendship; expand our diplomatic ties.",0,10,-10,-10,,,,,014
014,Royal Diplomat,"The diplomat returns from foreign courts: ""Your alliance stance affects our international standing. Trade opportunities arise.""",Military alliances focusing on mutual defense.,5,-10,20,-15,Economic partnerships emphasizing trade benefits.,-5,20,-10,15,013,Right,,,
015,Foreign Ambassador,"The ambassador's exotic garb attracts attention: ""My sovereign extends warm greetings, Your Majesty. We propose a cultural exchange.""","Foreign influences corrupt tradition; decline politely.",10,-15,0,0,"Cultural enrichment benefits all; accept with enthusiasm.",-10,20,0,-5,,,,,016
016,Foreign Ambassador,"The ambassador discusses exchange details: ""Your cultural openness creates opportunities. Educational collaborations await.""",Limited exchange of carefully selected materials.,5,-5,0,-5,Comprehensive program including scholars and artists.,-15,25,0,-10,015,Right,,,
017,General,"The general's medals clink as he kneels: ""Our forces require modernization, Sire. Military doctrine must evolve.""","Traditional tactics have proven effective; maintain current training.",5,0,10,-5,"Warfare evolves constantly; embrace new strategies.",-5,0,25,-20,,,,,018
018,General,"The general presents battle plans: ""Your military doctrine decision shapes our forces. Training priorities require direction.""",Defensive formations prioritizing homeland security.,10,10,-5,10,Offensive capabilities enabling territorial expansion.,-10,-15,30,-25,017,Right,,,
