ID,Character,Prompt,Left Choice,Left Church,Left People,Left Military,Left Treasury,Right Choice,Right Church,Right People,Right Military,Right Treasury
001,Diplomat,"With a sly smile, the diplomat gestures broadly: ""Sire, the lords quarrel like children. Shall we mediate disputes between lords?""","We cannot risk the kingdom's future; dismiss them with a royal wave.",10,-10,0,0,"Make it so; our enemies shall kneel in terror!",-10,10,0,0
002,Merchant,"The merchant nervously fidgets with coins: ""My king, the markets groan under heavy tariffs. Shall we reduce tariffs?""","Absurd! Unthinkable; it's madness that courts disaster.",0,-15,0,10,"Brilliant! Most ingenious; begin before the sun sets!",0,15,0,-10
003,Farmer,"Mud-stained and weary, the farmer removes his cap: ""Your Grace, our villages yearn for markets. Shall we hold local markets?""","Silence! Such talk borders on treason; it whispers of rebellion and ruin.",0,-15,0,10,"Indeed! We shall usher wealth and fortune to the land!",0,15,0,-10
004,Guard Captain,"The guard captain stands rigid, hand on sword: ""The streets grow lawless after dark, my liege. Shall we establish curfews?""","This is the royal coffers grow thin for our strained treasury.",10,0,0,-10,"Brilliant! Most ingenious; begin before the sun sets!",-10,0,0,10
005,Noble,"Adorned in finery, the noble bows with exaggerated grace: ""Your Highness, our neighbors' lands lie ripe for taking. Shall we claim neighboring lands?""","The kingdom trembles at such ambition for such measures.",-10,0,0,10,"You have the crown's blessing; it is the people's birthright.",10,0,0,-10
006,Cardinal,"The cardinal whispers, incense wafting from his robes: ""By divine right, Your Majesty. Shall we impose religious restrictions?""","The crown cannot sanction such zealotry; the throne has spoken.",-10,10,0,0,"The faith shall guide our kingdom; let it be enforced.",10,-10,0,0
007,Jester,"Bells jingling, the jester somersaults before you: ""A jest, my king! Though perhaps... shall we hold a royal feast?""","The treasury is not your plaything; begone with your follies.",0,-10,0,10,"A splendid notion! Let the revelry commence!",0,10,0,-10
008,General,"The general's medals clink as he kneels: ""For glory and conquest, Sire. Shall we launch a military campaign?""","Our forces are unprepared for such ventures; the throne has spoken.",0,10,-10,10,"To battle! Our enemies shall taste steel and fire!",0,-10,10,-10
009,Advisor,"Your advisor clears his throat nervously: ""The council has deliberated, Your Majesty. Shall we raise taxes?""","The people already strain under their burden; show mercy.",10,10,0,-10,"The kingdom's needs must be met; increase the levies.",-10,-10,0,10
010,Witch,"The witch's eyes glow in the shadows: ""The stars align for this purpose, my king. Shall we consult the arcane arts?""","Begone with your dark magicks; we rule by divine right.",15,-5,0,0,"Unveil the secrets of the future; we shall be prepared.",-15,5,0,0
