strategy,run_id,turns_survived,end_reason,final_piety,final_stability,final_power,final_wealth,min_piety,min_stability,min_power,min_wealth,max_piety,max_stability,max_power,max_wealth,avg_piety,avg_stability,avg_power,avg_wealth,std_piety,std_stability,std_power,std_wealth,left_choices,right_choices,risky_card,card_sequence,choice_sequence
openrouter,1,4,Wealth too low,40,75,75,-5,40.0,75.0,75.0,-5.0,40.0,75.0,75.0,-5.0,40.0,75.0,75.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"326,327,316,317","Right,Right,Left,Left"
openrouter,2,4,Wealth too low,45,65,85,0,45.0,65.0,85.0,0.0,45.0,65.0,85.0,0.0,45.0,65.0,85.0,0.0,0.0,0.0,0.0,0.0,0,0,,"253,254,199,200","Right,Left,Left,Right"
openrouter,3,5,Wealth too low,70,85,70,0,70.0,85.0,70.0,0.0,70.0,85.0,70.0,0.0,70.0,85.0,70.0,0.0,0.0,0.0,0.0,0.0,0,0,,"57,58,147,148,249","Right,Right,Left,Left,Left"
openrouter,4,5,Stability too high,40,100,50,45,40.0,100.0,50.0,45.0,40.0,100.0,50.0,45.0,40.0,100.0,50.0,45.0,0.0,0.0,0.0,0.0,0,0,,"65,66,77,78,195","Left,Right,Left,Left,Right"
openrouter,5,7,Stability too high,85,100,45,25,85.0,100.0,45.0,25.0,85.0,100.0,45.0,25.0,85.0,100.0,45.0,25.0,0.0,0.0,0.0,0.0,0,0,,"353,354,355,89,90,189,190","Left,Left,Left,Left,Left,Left,Left"
openrouter,6,6,Wealth too low,65,65,80,-5,65.0,65.0,80.0,-5.0,65.0,65.0,80.0,-5.0,65.0,65.0,80.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"259,260,227,228,45,46","Right,Left,Left,Left,Right,Left"
openrouter,7,8,Power too high,55,85,100,-5,55.0,85.0,100.0,-5.0,55.0,85.0,100.0,-5.0,55.0,85.0,100.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"328,329,97,98,393,394,391,392","Left,Right,Left,Left,Left,Right,Left,Right"
openrouter,8,7,Stability too high,45,110,25,35,45.0,110.0,25.0,35.0,45.0,110.0,25.0,35.0,45.0,110.0,25.0,35.0,0.0,0.0,0.0,0.0,0,0,,"157,158,105,106,299,300,89","Right,Right,Left,Right,Left,Right,Left"
openrouter,9,4,Stability too high,50,100,50,45,50.0,100.0,50.0,45.0,50.0,100.0,50.0,45.0,50.0,100.0,50.0,45.0,0.0,0.0,0.0,0.0,0,0,,"245,246,338,339","Left,Left,Right,Right"
openrouter,10,4,Stability too high,35,105,40,15,35.0,105.0,40.0,15.0,35.0,105.0,40.0,15.0,35.0,105.0,40.0,15.0,0.0,0.0,0.0,0.0,0,0,,"49,50,107,108","Right,Left,Right,Right"
openrouter,11,5,Power too high,75,40,110,25,75.0,40.0,110.0,25.0,75.0,40.0,110.0,25.0,75.0,40.0,110.0,25.0,0.0,0.0,0.0,0.0,0,0,,"125,126,283,284,391","Left,Left,Left,Right,Left"
