strategy,run_id,turns_survived,end_reason,final_piety,final_stability,final_power,final_wealth,min_piety,min_stability,min_power,min_wealth,max_piety,max_stability,max_power,max_wealth,avg_piety,avg_stability,avg_power,avg_wealth,std_piety,std_stability,std_power,std_wealth,left_choices,right_choices,risky_card,card_sequence,choice_sequence
openrouter,1,2,Stability too high,25,110,45,0,25.0,110.0,45.0,0.0,25.0,110.0,45.0,0.0,25.0,110.0,45.0,0.0,0.0,0.0,0.0,0.0,0,0,,"323,324","Right,Right"
openrouter,2,3,Stability too high,35,100,35,30,35.0,100.0,35.0,30.0,35.0,100.0,35.0,30.0,35.0,100.0,35.0,30.0,0.0,0.0,0.0,0.0,0,0,,"381,382,287","Right,Left,Right"
openrouter,3,3,Stability too high,30,100,85,-10,30.0,100.0,85.0,-10.0,30.0,100.0,85.0,-10.0,30.0,100.0,85.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"145,146,223","Right,Right,Right"
openrouter,4,5,Stability too high,15,100,65,0,15.0,100.0,65.0,0.0,15.0,100.0,65.0,0.0,15.0,100.0,65.0,0.0,0.0,0.0,0.0,0.0,0,0,,"265,266,55,56,37","Left,Left,Right,Right,Left"
openrouter,5,5,Stability too high,20,110,35,30,20.0,110.0,35.0,30.0,20.0,110.0,35.0,30.0,20.0,110.0,35.0,30.0,0.0,0.0,0.0,0.0,0,0,,"65,66,368,369,137","Left,Right,Left,Right,Left"
openrouter,6,5,Stability too high,15,105,45,25,15.0,105.0,45.0,25.0,15.0,105.0,45.0,25.0,15.0,105.0,45.0,25.0,0.0,0.0,0.0,0.0,0,0,,"377,378,365,366,367","Right,Left,Right,Right,Right"
openrouter,7,5,Stability too high,45,100,50,0,45.0,100.0,50.0,0.0,45.0,100.0,50.0,0.0,45.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0,,"285,286,239,240,340","Right,Right,Left,Left,Right"
openrouter,8,6,Wealth too low,45,85,75,-5,45.0,85.0,75.0,-5.0,45.0,85.0,75.0,-5.0,45.0,85.0,75.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"31,32,175,176,359,360","Right,Left,Left,Left,Right,Left"
openrouter,9,5,Stability too high,40,115,70,10,40.0,115.0,70.0,10.0,40.0,115.0,70.0,10.0,40.0,115.0,70.0,10.0,0.0,0.0,0.0,0.0,0,0,,"175,176,123,124,279","Left,Left,Right,Right,Right"
openrouter,10,3,Piety too high,110,-5,60,25,110.0,-5.0,60.0,25.0,110.0,-5.0,60.0,25.0,110.0,-5.0,60.0,25.0,0.0,0.0,0.0,0.0,0,0,,"345,346,347","Right,Left,Left"
openrouter,11,3,Stability too high,25,105,45,15,25.0,105.0,45.0,15.0,25.0,105.0,45.0,15.0,25.0,105.0,45.0,15.0,0.0,0.0,0.0,0.0,0,0,,"135,136,65","Right,Right,Left"
openrouter,12,4,Wealth too low,50,85,50,-15,50.0,85.0,50.0,-15.0,50.0,85.0,50.0,-15.0,50.0,85.0,50.0,-15.0,0.0,0.0,0.0,0.0,0,0,,"213,214,235,236","Left,Left,Right,Right"
openrouter,13,7,Wealth too low,75,75,45,0,75.0,75.0,45.0,0.0,75.0,75.0,45.0,0.0,75.0,75.0,45.0,0.0,0.0,0.0,0.0,0.0,0,0,,"3,4,141,142,328,329,139","Right,Right,Left,Left,Left,Left,Right"
openrouter,14,5,Piety too low,0,100,95,45,0.0,100.0,95.0,45.0,0.0,100.0,95.0,45.0,0.0,100.0,95.0,45.0,0.0,0.0,0.0,0.0,0,0,,"281,282,310,311,312","Right,Right,Left,Right,Right"
openrouter,15,9,Power too high,55,100,100,-5,55.0,100.0,100.0,-5.0,55.0,100.0,100.0,-5.0,55.0,100.0,100.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"103,104,109,110,127,128,35,36,21","Right,Right,Left,Left,Right,Right,Right,Right,Right"
openrouter,16,2,Stability too high,30,105,35,40,30.0,105.0,35.0,40.0,30.0,105.0,35.0,40.0,30.0,105.0,35.0,40.0,0.0,0.0,0.0,0.0,0,0,,"107,108","Right,Right"
openrouter,17,5,Stability too high,25,100,30,30,25.0,100.0,30.0,30.0,25.0,100.0,30.0,30.0,25.0,100.0,30.0,30.0,0.0,0.0,0.0,0.0,0,0,,"213,214,165,166,207","Left,Left,Right,Right,Left"
openrouter,18,2,Stability too high,35,100,45,15,35.0,100.0,45.0,15.0,35.0,100.0,45.0,15.0,35.0,100.0,45.0,15.0,0.0,0.0,0.0,0.0,0,0,,"399,400","Right,Right"
openrouter,19,3,Piety too high,110,-5,60,25,110.0,-5.0,60.0,25.0,110.0,-5.0,60.0,25.0,110.0,-5.0,60.0,25.0,0.0,0.0,0.0,0.0,0,0,,"345,346,347","Right,Left,Left"
openrouter,20,10,Wealth too low,65,65,80,0,65.0,65.0,80.0,0.0,65.0,65.0,80.0,0.0,65.0,65.0,80.0,0.0,0.0,0.0,0.0,0.0,0,0,,"333,334,267,268,21,22,59,60,375,376","Left,Left,Right,Right,Left,Left,Left,Left,Right,Left"
openrouter,21,7,Stability too high,45,100,70,0,45.0,100.0,70.0,0.0,45.0,100.0,70.0,0.0,45.0,100.0,70.0,0.0,0.0,0.0,0.0,0.0,0,0,,"326,327,245,246,197,198,239","Right,Right,Left,Left,Left,Left,Right"
openrouter,22,9,Stability too high,50,105,60,15,50.0,105.0,60.0,15.0,50.0,105.0,60.0,15.0,50.0,105.0,60.0,15.0,0.0,0.0,0.0,0.0,0,0,,"17,18,119,120,267,268,93,94,287","Left,Left,Right,Left,Right,Left,Right,Left,Right"
openrouter,23,5,Stability too high,20,120,40,15,20.0,120.0,40.0,15.0,20.0,120.0,40.0,15.0,20.0,120.0,40.0,15.0,0.0,0.0,0.0,0.0,0,0,,"163,164,169,170,1","Right,Right,Left,Right,Right"
openrouter,24,6,Stability too high,25,115,75,-10,25.0,115.0,75.0,-10.0,25.0,115.0,75.0,-10.0,25.0,115.0,75.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"37,38,223,224,161,162","Left,Left,Left,Right,Right,Right"
openrouter,25,11,Stability too high,65,100,85,-5,65.0,100.0,85.0,-5.0,65.0,100.0,85.0,-5.0,65.0,100.0,85.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"275,276,237,238,137,138,37,38,304,305,306","Left,Right,Right,Left,Right,Left,Left,Left,Right,Left,Left"
openrouter,26,5,Stability too high,10,120,40,25,10.0,120.0,40.0,25.0,10.0,120.0,40.0,25.0,10.0,120.0,40.0,25.0,0.0,0.0,0.0,0.0,0,0,,"49,50,348,349,350","Right,Right,Left,Right,Right"
openrouter,27,10,Stability too high,50,100,45,10,50.0,100.0,45.0,10.0,50.0,100.0,45.0,10.0,50.0,100.0,45.0,10.0,0.0,0.0,0.0,0.0,0,0,,"247,248,111,112,281,282,95,96,143,144","Left,Left,Right,Left,Left,Right,Right,Left,Left,Right"
openrouter,28,4,Stability too high,40,120,35,20,40.0,120.0,35.0,20.0,40.0,120.0,35.0,20.0,40.0,120.0,35.0,20.0,0.0,0.0,0.0,0.0,0,0,,"304,305,306,307","Right,Left,Left,Left"
openrouter,29,4,Power too high,60,65,100,15,60.0,65.0,100.0,15.0,60.0,65.0,100.0,15.0,60.0,65.0,100.0,15.0,0.0,0.0,0.0,0.0,0,0,,"316,317,318,27","Left,Left,Left,Left"
openrouter,30,6,Wealth too low,55,70,90,-5,55.0,70.0,90.0,-5.0,55.0,70.0,90.0,-5.0,55.0,70.0,90.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"61,62,169,170,159,160","Left,Left,Right,Left,Left,Right"
openrouter,31,6,Stability too high,55,105,60,25,55.0,105.0,60.0,25.0,55.0,105.0,60.0,25.0,55.0,105.0,60.0,25.0,0.0,0.0,0.0,0.0,0,0,,"187,188,373,374,165,166","Left,Left,Right,Right,Right,Right"
openrouter,32,5,Stability too high,45,110,55,20,45.0,110.0,55.0,20.0,45.0,110.0,55.0,20.0,45.0,110.0,55.0,20.0,0.0,0.0,0.0,0.0,0,0,,"61,62,109,110,89","Left,Left,Right,Right,Left"
openrouter,33,6,Stability too high,65,100,55,15,65.0,100.0,55.0,15.0,65.0,100.0,55.0,15.0,65.0,100.0,55.0,15.0,0.0,0.0,0.0,0.0,0,0,,"151,152,69,70,189,190","Right,Left,Right,Left,Left,Left"
openrouter,34,6,Wealth too low,70,60,70,-5,70.0,60.0,70.0,-5.0,70.0,60.0,70.0,-5.0,70.0,60.0,70.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"87,88,1,2,259,260","Right,Left,Right,Left,Left,Left"
openrouter,35,11,Stability too high,25,100,80,20,25.0,100.0,80.0,20.0,25.0,100.0,80.0,20.0,25.0,100.0,80.0,20.0,0.0,0.0,0.0,0.0,0,0,,"197,198,207,208,289,290,343,344,147,148,281","Left,Left,Left,Left,Right,Right,Left,Left,Left,Left,Right"
openrouter,36,4,Wealth too low,50,70,85,0,50.0,70.0,85.0,0.0,50.0,70.0,85.0,0.0,50.0,70.0,85.0,0.0,0.0,0.0,0.0,0.0,0,0,,"23,24,387,388","Right,Left,Right,Left"
openrouter,37,3,Stability too high,35,115,35,35,35.0,115.0,35.0,35.0,35.0,115.0,35.0,35.0,35.0,115.0,35.0,35.0,0.0,0.0,0.0,0.0,0,0,,"65,66,267","Left,Right,Right"
openrouter,38,6,Piety too high,100,75,40,45,100.0,75.0,40.0,45.0,100.0,75.0,40.0,45.0,100.0,75.0,40.0,45.0,0.0,0.0,0.0,0.0,0,0,,"279,280,49,50,271,272","Right,Right,Left,Left,Left,Left"
openrouter,39,8,Wealth too low,60,85,90,0,60.0,85.0,90.0,0.0,60.0,85.0,90.0,0.0,60.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0,0,,"59,60,185,186,49,50,203,204","Right,Left,Right,Right,Left,Left,Right,Left"
openrouter,40,3,Piety too high,110,-5,60,25,110.0,-5.0,60.0,25.0,110.0,-5.0,60.0,25.0,110.0,-5.0,60.0,25.0,0.0,0.0,0.0,0.0,0,0,,"345,346,347","Right,Left,Left"
openrouter,41,3,Piety too low,0,105,80,20,0.0,105.0,80.0,20.0,0.0,105.0,80.0,20.0,0.0,105.0,80.0,20.0,0.0,0.0,0.0,0.0,0,0,,"121,122,269","Right,Right,Right"
openrouter,42,12,Wealth too low,65,65,85,0,65.0,65.0,85.0,0.0,65.0,65.0,85.0,0.0,65.0,65.0,85.0,0.0,0.0,0.0,0.0,0.0,0,0,,"343,344,293,294,29,30,308,309,35,36,253,254","Right,Right,Left,Left,Left,Left,Right,Left,Left,Left,Left,Left"
openrouter,43,6,Stability too high,55,100,20,40,55.0,100.0,20.0,40.0,55.0,100.0,20.0,40.0,55.0,100.0,20.0,40.0,0.0,0.0,0.0,0.0,0,0,,"89,90,356,357,358,207","Left,Left,Left,Left,Left,Left"
openrouter,44,2,Stability too high,35,105,35,45,35.0,105.0,35.0,45.0,35.0,105.0,35.0,45.0,35.0,105.0,35.0,45.0,0.0,0.0,0.0,0.0,0,0,,"165,166","Right,Right"
openrouter,45,2,Stability too high,10,100,50,15,10.0,100.0,50.0,15.0,10.0,100.0,50.0,15.0,10.0,100.0,50.0,15.0,0.0,0.0,0.0,0.0,0,0,,"53,54","Right,Right"
openrouter,46,8,Wealth too low,40,90,75,-10,40.0,90.0,75.0,-10.0,40.0,90.0,75.0,-10.0,40.0,90.0,75.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"159,160,35,36,261,262,91,92","Right,Right,Left,Right,Left,Left,Left,Right"
openrouter,47,2,Stability too high,30,105,45,15,30.0,105.0,45.0,15.0,30.0,105.0,45.0,15.0,30.0,105.0,45.0,15.0,0.0,0.0,0.0,0.0,0,0,,"99,100","Right,Right"
openrouter,48,7,Stability too high,10,110,85,-15,10.0,110.0,85.0,-15.0,10.0,110.0,85.0,-15.0,10.0,110.0,85.0,-15.0,0.0,0.0,0.0,0.0,0,0,,"231,232,13,14,247,248,323","Right,Right,Left,Left,Right,Left,Right"
openrouter,49,3,Wealth too low,25,90,55,-5,25.0,90.0,55.0,-5.0,25.0,90.0,55.0,-5.0,25.0,90.0,55.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"362,363,364","Right,Left,Right"
openrouter,50,5,Stability too high,30,100,65,5,30.0,100.0,65.0,5.0,30.0,100.0,65.0,5.0,30.0,100.0,65.0,5.0,0.0,0.0,0.0,0.0,0,0,,"229,230,275,276,183","Right,Right,Left,Left,Right"
openrouter,51,2,Stability too high,35,100,45,20,35.0,100.0,45.0,20.0,35.0,100.0,45.0,20.0,35.0,100.0,45.0,20.0,0.0,0.0,0.0,0.0,0,0,,"277,278","Right,Right"
openrouter,52,3,Stability too high,30,115,75,0,30.0,115.0,75.0,0.0,30.0,115.0,75.0,0.0,30.0,115.0,75.0,0.0,0.0,0.0,0.0,0.0,0,0,,"123,124,183","Right,Right,Right"
openrouter,53,8,Wealth too low,50,90,90,-5,50.0,90.0,90.0,-5.0,50.0,90.0,90.0,-5.0,50.0,90.0,90.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"237,238,195,196,131,132,159,160","Right,Left,Right,Right,Left,Left,Left,Right"
openrouter,54,6,Wealth too low,55,85,65,-10,55.0,85.0,65.0,-10.0,55.0,85.0,65.0,-10.0,55.0,85.0,65.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"187,188,255,256,55,56","Left,Left,Right,Left,Right,Right"
