run_id,turns_survived,end_reason,final_piety,final_stability,final_power,final_wealth,min_piety,min_stability,min_power,min_wealth,max_piety,max_stability,max_power,max_wealth,avg_piety,avg_stability,avg_power,avg_wealth,std_piety,std_stability,std_power,std_wealth,left_choices,right_choices,risky_card,card_sequence,choice_sequence
1,2,Stability too high,25,110,45,0,25.0,110.0,45.0,0.0,25.0,110.0,45.0,0.0,25.0,110.0,45.0,0.0,0.0,0.0,0.0,0.0,0,0,,"323,324","Right,Right"
2,3,Stability too high,35,100,35,30,35.0,100.0,35.0,30.0,35.0,100.0,35.0,30.0,35.0,100.0,35.0,30.0,0.0,0.0,0.0,0.0,0,0,,"381,382,287","Right,Left,Right"
3,3,Stability too high,30,100,85,-10,30.0,100.0,85.0,-10.0,30.0,100.0,85.0,-10.0,30.0,100.0,85.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"145,146,223","Right,Right,Right"
4,5,Stability too high,15,100,65,0,15.0,100.0,65.0,0.0,15.0,100.0,65.0,0.0,15.0,100.0,65.0,0.0,0.0,0.0,0.0,0.0,0,0,,"265,266,55,56,37","Left,Left,Right,Right,Left"
5,5,Stability too high,20,110,35,30,20.0,110.0,35.0,30.0,20.0,110.0,35.0,30.0,20.0,110.0,35.0,30.0,0.0,0.0,0.0,0.0,0,0,,"65,66,368,369,137","Left,Right,Left,Right,Left"
6,5,Stability too high,15,105,45,25,15.0,105.0,45.0,25.0,15.0,105.0,45.0,25.0,15.0,105.0,45.0,25.0,0.0,0.0,0.0,0.0,0,0,,"377,378,365,366,367","Right,Left,Right,Right,Right"
7,5,Stability too high,45,100,50,0,45.0,100.0,50.0,0.0,45.0,100.0,50.0,0.0,45.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0,,"285,286,239,240,340","Right,Right,Left,Left,Right"
8,6,Wealth too low,45,85,75,-5,45.0,85.0,75.0,-5.0,45.0,85.0,75.0,-5.0,45.0,85.0,75.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"31,32,175,176,359,360","Right,Left,Left,Left,Right,Left"
9,5,Stability too high,40,115,70,10,40.0,115.0,70.0,10.0,40.0,115.0,70.0,10.0,40.0,115.0,70.0,10.0,0.0,0.0,0.0,0.0,0,0,,"175,176,123,124,279","Left,Left,Right,Right,Right"
10,3,Piety too high,110,-5,60,25,110.0,-5.0,60.0,25.0,110.0,-5.0,60.0,25.0,110.0,-5.0,60.0,25.0,0.0,0.0,0.0,0.0,0,0,,"345,346,347","Right,Left,Left"
11,3,Stability too high,25,105,45,15,25.0,105.0,45.0,15.0,25.0,105.0,45.0,15.0,25.0,105.0,45.0,15.0,0.0,0.0,0.0,0.0,0,0,,"135,136,65","Right,Right,Left"
12,4,Wealth too low,50,85,50,-15,50.0,85.0,50.0,-15.0,50.0,85.0,50.0,-15.0,50.0,85.0,50.0,-15.0,0.0,0.0,0.0,0.0,0,0,,"213,214,235,236","Left,Left,Right,Right"
13,7,Wealth too low,75,75,45,0,75.0,75.0,45.0,0.0,75.0,75.0,45.0,0.0,75.0,75.0,45.0,0.0,0.0,0.0,0.0,0.0,0,0,,"3,4,141,142,328,329,139","Right,Right,Left,Left,Left,Left,Right"
14,5,Piety too low,0,100,95,45,0.0,100.0,95.0,45.0,0.0,100.0,95.0,45.0,0.0,100.0,95.0,45.0,0.0,0.0,0.0,0.0,0,0,,"281,282,310,311,312","Right,Right,Left,Right,Right"
15,9,Power too high,55,100,100,-5,55.0,100.0,100.0,-5.0,55.0,100.0,100.0,-5.0,55.0,100.0,100.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"103,104,109,110,127,128,35,36,21","Right,Right,Left,Left,Right,Right,Right,Right,Right"
16,2,Stability too high,30,105,35,40,30.0,105.0,35.0,40.0,30.0,105.0,35.0,40.0,30.0,105.0,35.0,40.0,0.0,0.0,0.0,0.0,0,0,,"107,108","Right,Right"
17,5,Stability too high,25,100,30,30,25.0,100.0,30.0,30.0,25.0,100.0,30.0,30.0,25.0,100.0,30.0,30.0,0.0,0.0,0.0,0.0,0,0,,"213,214,165,166,207","Left,Left,Right,Right,Left"
18,2,Stability too high,35,100,45,15,35.0,100.0,45.0,15.0,35.0,100.0,45.0,15.0,35.0,100.0,45.0,15.0,0.0,0.0,0.0,0.0,0,0,,"399,400","Right,Right"
19,3,Piety too high,110,-5,60,25,110.0,-5.0,60.0,25.0,110.0,-5.0,60.0,25.0,110.0,-5.0,60.0,25.0,0.0,0.0,0.0,0.0,0,0,,"345,346,347","Right,Left,Left"
20,10,Wealth too low,65,65,80,0,65.0,65.0,80.0,0.0,65.0,65.0,80.0,0.0,65.0,65.0,80.0,0.0,0.0,0.0,0.0,0.0,0,0,,"333,334,267,268,21,22,59,60,375,376","Left,Left,Right,Right,Left,Left,Left,Left,Right,Left"
21,7,Stability too high,45,100,70,0,45.0,100.0,70.0,0.0,45.0,100.0,70.0,0.0,45.0,100.0,70.0,0.0,0.0,0.0,0.0,0.0,0,0,,"326,327,245,246,197,198,239","Right,Right,Left,Left,Left,Left,Right"
22,9,Stability too high,50,105,60,15,50.0,105.0,60.0,15.0,50.0,105.0,60.0,15.0,50.0,105.0,60.0,15.0,0.0,0.0,0.0,0.0,0,0,,"17,18,119,120,267,268,93,94,287","Left,Left,Right,Left,Right,Left,Right,Left,Right"
23,5,Stability too high,20,120,40,15,20.0,120.0,40.0,15.0,20.0,120.0,40.0,15.0,20.0,120.0,40.0,15.0,0.0,0.0,0.0,0.0,0,0,,"163,164,169,170,1","Right,Right,Left,Right,Right"
24,6,Stability too high,25,115,75,-10,25.0,115.0,75.0,-10.0,25.0,115.0,75.0,-10.0,25.0,115.0,75.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"37,38,223,224,161,162","Left,Left,Left,Right,Right,Right"
