strategy,run_id,turns_survived,end_reason,final_piety,final_stability,final_power,final_wealth,min_piety,min_stability,min_power,min_wealth,max_piety,max_stability,max_power,max_wealth,avg_piety,avg_stability,avg_power,avg_wealth,std_piety,std_stability,std_power,std_wealth,left_choices,right_choices,risky_card,card_sequence,choice_sequence
openrouter,1,3,Wealth too low,30,75,80,0,30.0,75.0,80.0,0.0,30.0,75.0,80.0,0.0,30.0,75.0,80.0,0.0,0.0,0.0,0.0,0.0,0,0,,"159,160,326","Right,Right,Right"
openrouter,2,4,Stability too high,60,100,35,30,60.0,100.0,35.0,30.0,60.0,100.0,35.0,30.0,60.0,100.0,35.0,30.0,0.0,0.0,0.0,0.0,0,0,,"304,305,306,307","Left,Left,Left,Left"
openrouter,3,6,Wealth too low,70,75,90,-5,70.0,75.0,90.0,-5.0,70.0,75.0,90.0,-5.0,70.0,75.0,90.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"61,62,389,390,117,118","Left,Left,Right,Left,Left,Left"
openrouter,4,8,Stability too high,45,100,80,40,45.0,100.0,80.0,40.0,45.0,100.0,80.0,40.0,45.0,100.0,80.0,40.0,0.0,0.0,0.0,0.0,0,0,,"23,24,199,200,165,166,161,162","Left,Left,Left,Left,Right,Right,Left,Right"
openrouter,5,9,Wealth too low,50,90,55,0,50.0,90.0,55.0,0.0,50.0,90.0,55.0,0.0,50.0,90.0,55.0,0.0,0.0,0.0,0.0,0.0,0,0,,"368,369,113,114,167,168,15,16,55","Left,Right,Right,Left,Left,Left,Right,Left,Right"
openrouter,6,10,Power too high,55,25,100,45,55.0,25.0,100.0,45.0,55.0,25.0,100.0,45.0,55.0,25.0,100.0,45.0,0.0,0.0,0.0,0.0,0,0,,"93,94,375,376,231,232,197,198,351,352","Right,Right,Right,Left,Left,Left,Left,Left,Left,Left"
openrouter,7,9,Wealth too low,90,50,75,0,90.0,50.0,75.0,0.0,90.0,50.0,75.0,0.0,90.0,50.0,75.0,0.0,0.0,0.0,0.0,0.0,0,0,,"340,341,342,75,76,191,192,310,311","Right,Left,Left,Right,Left,Right,Left,Left,Left"
openrouter,8,10,Piety too high,105,5,90,20,105.0,5.0,90.0,20.0,105.0,5.0,90.0,20.0,105.0,5.0,90.0,20.0,0.0,0.0,0.0,0.0,0,0,,"25,26,368,369,115,116,261,262,155,156","Left,Left,Left,Right,Left,Left,Left,Left,Left,Left"
openrouter,9,10,Piety too high,100,55,55,20,100.0,55.0,55.0,20.0,100.0,55.0,55.0,20.0,100.0,55.0,55.0,20.0,0.0,0.0,0.0,0.0,0,0,,"43,44,263,264,139,140,237,238,277,278","Left,Right,Left,Left,Left,Right,Left,Left,Left,Left"
openrouter,10,3,Piety too high,100,50,30,45,100.0,50.0,30.0,45.0,100.0,50.0,30.0,45.0,100.0,50.0,30.0,45.0,0.0,0.0,0.0,0.0,0,0,,"91,92,89","Left,Left,Left"
