strategy,run_id,turns_survived,end_reason,final_piety,final_stability,final_power,final_wealth,min_piety,min_stability,min_power,min_wealth,max_piety,max_stability,max_power,max_wealth,avg_piety,avg_stability,avg_power,avg_wealth,std_piety,std_stability,std_power,std_wealth,left_choices,right_choices,risky_card,card_sequence,choice_sequence
openrouter,1,3,Wealth too low,45,90,45,-5,45.0,90.0,45.0,-5.0,45.0,90.0,45.0,-5.0,45.0,90.0,45.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"235,236,231","Right,Left,Right"
openrouter,2,3,Stability too high,20,115,55,30,20.0,115.0,55.0,30.0,20.0,115.0,55.0,30.0,20.0,115.0,55.0,30.0,0.0,0.0,0.0,0.0,0,0,,"239,240,103","Right,Right,Right"
openrouter,3,4,Wealth too low,65,65,90,-5,65.0,65.0,90.0,-5.0,65.0,65.0,90.0,-5.0,65.0,65.0,90.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"147,148,259,260","Right,Left,Left,Left"
openrouter,4,3,Piety too high,105,10,55,50,105.0,10.0,55.0,50.0,105.0,10.0,55.0,50.0,105.0,10.0,55.0,50.0,0.0,0.0,0.0,0.0,0,0,,"187,188,205","Left,Left,Left"
openrouter,5,3,Wealth too low,60,95,50,0,60.0,95.0,50.0,0.0,60.0,95.0,50.0,0.0,60.0,95.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0,,"5,6,153","Left,Left,Right"
openrouter,6,5,Power too high,65,35,100,15,65.0,35.0,100.0,15.0,65.0,35.0,100.0,15.0,65.0,35.0,100.0,15.0,0.0,0.0,0.0,0.0,0,0,,"45,46,159,160,165","Left,Left,Right,Right,Left"
openrouter,7,5,Piety too high,100,50,60,20,100.0,50.0,60.0,20.0,100.0,50.0,60.0,20.0,100.0,50.0,60.0,20.0,0.0,0.0,0.0,0.0,0,0,,"205,206,209,210,362","Right,Left,Left,Left,Left"
openrouter,8,4,Wealth too low,50,45,95,0,50.0,45.0,95.0,0.0,50.0,45.0,95.0,0.0,50.0,45.0,95.0,0.0,0.0,0.0,0.0,0.0,0,0,,"101,102,227,228","Left,Left,Right,Left"
openrouter,9,5,Stability too high,50,110,45,35,50.0,110.0,45.0,35.0,50.0,110.0,45.0,35.0,50.0,110.0,45.0,35.0,0.0,0.0,0.0,0.0,0,0,,"245,246,49,50,375","Left,Left,Left,Right,Right"
openrouter,10,7,Wealth too low,75,50,65,0,75.0,50.0,65.0,0.0,75.0,50.0,65.0,0.0,75.0,50.0,65.0,0.0,0.0,0.0,0.0,0.0,0,0,,"167,168,149,150,313,314,315","Left,Left,Right,Left,Right,Left,Left"
openrouter,11,5,Wealth too low,65,50,95,0,65.0,50.0,95.0,0.0,65.0,50.0,95.0,0.0,65.0,50.0,95.0,0.0,0.0,0.0,0.0,0.0,0,0,,"61,62,101,102,370","Left,Left,Right,Left,Left"
openrouter,12,12,Piety too high,100,45,85,10,100.0,45.0,85.0,10.0,100.0,45.0,85.0,10.0,100.0,45.0,85.0,10.0,0.0,0.0,0.0,0.0,0,0,,"107,108,29,30,39,40,179,180,217,218,83,84","Left,Right,Left,Left,Left,Left,Right,Left,Right,Left,Left,Left"
openrouter,13,9,Wealth too low,65,85,80,-5,65.0,85.0,80.0,-5.0,65.0,85.0,80.0,-5.0,65.0,85.0,80.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"17,18,111,112,333,334,231,232,253","Right,Left,Right,Left,Left,Left,Right,Left,Right"
openrouter,14,12,Wealth too low,70,80,80,0,70.0,80.0,80.0,0.0,70.0,80.0,80.0,0.0,70.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0,0,,"69,70,285,286,185,186,147,148,211,212,387,388","Left,Left,Left,Left,Right,Right,Left,Left,Left,Left,Right,Right"
