strategy,run_id,turns_survived,end_reason,final_church,final_people,final_military,final_treasury,min_church,min_people,min_military,min_treasury,max_church,max_people,max_military,max_treasury,avg_church,avg_people,avg_military,avg_treasury,std_church,std_people,std_military,std_treasury,left_choices,right_choices,risky_card,card_sequence,choice_sequence
openrouter,1,3,Treasury too low,40,70,50,-5,40.0,70.0,50.0,-5.0,40.0,70.0,50.0,-5.0,40.0,70.0,50.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"362,363,364","Right,Right,Left"
openrouter,2,6,Treasury too low,75,45,55,0,75.0,45.0,55.0,0.0,75.0,45.0,55.0,0.0,75.0,45.0,55.0,0.0,0.0,0.0,0.0,0.0,0,0,,"71,72,223,224,308,309","Left,Left,Right,Right,Left,Left"
openrouter,3,3,Treasury too low,45,85,50,0,45.0,85.0,50.0,0.0,45.0,85.0,50.0,0.0,45.0,85.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0,,"291,292,223","Left,Right,Right"
openrouter,4,7,Treasury too low,35,85,90,0,35.0,85.0,90.0,0.0,35.0,85.0,90.0,0.0,35.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0,0,,"27,28,247,248,157,158,365","Left,Right,Right,Left,Right,Left,Right"
openrouter,5,4,People too high,50,105,40,0,50.0,105.0,40.0,0.0,50.0,105.0,40.0,0.0,50.0,105.0,40.0,0.0,0.0,0.0,0.0,0.0,0,0,,"385,386,279,280","Right,Left,Right,Left"
openrouter,6,6,Military too high,20,60,100,0,20.0,60.0,100.0,0.0,20.0,60.0,100.0,0.0,20.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,,"65,66,247,248,147,148","Right,Right,Right,Left,Right,Right"
openrouter,7,4,People too high,25,105,45,25,25.0,105.0,45.0,25.0,25.0,105.0,45.0,25.0,25.0,105.0,45.0,25.0,0.0,0.0,0.0,0.0,0,0,,"115,116,348,349","Right,Left,Right,Right"
openrouter,8,4,People too high,30,100,55,15,30.0,100.0,55.0,15.0,30.0,100.0,55.0,15.0,30.0,100.0,55.0,15.0,0.0,0.0,0.0,0.0,0,0,,"109,110,171,172","Right,Right,Left,Right"
openrouter,9,5,Treasury too low,50,85,70,-5,50.0,85.0,70.0,-5.0,50.0,85.0,70.0,-5.0,50.0,85.0,70.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"233,234,249,250,385","Right,Left,Left,Left,Right"
openrouter,10,3,Treasury too low,75,5,75,-10,75.0,5.0,75.0,-10.0,75.0,5.0,75.0,-10.0,75.0,5.0,75.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"93,94,97","Left,Left,Right"
openrouter,11,9,Treasury too low,85,50,85,-5,85.0,50.0,85.0,-5.0,85.0,50.0,85.0,-5.0,85.0,50.0,85.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"107,108,39,40,241,242,245,246,338","Left,Right,Left,Left,Left,Left,Left,Left,Left"
openrouter,12,7,Treasury too low,60,95,45,0,60.0,95.0,45.0,0.0,60.0,95.0,45.0,0.0,60.0,95.0,45.0,0.0,0.0,0.0,0.0,0.0,0,0,,"323,324,325,37,38,195,196","Left,Right,Right,Right,Left,Right,Right"
openrouter,13,6,Military too high,70,25,110,30,70.0,25.0,110.0,30.0,70.0,25.0,110.0,30.0,70.0,25.0,110.0,30.0,0.0,0.0,0.0,0.0,0,0,,"63,64,243,244,395,396","Left,Left,Left,Right,Left,Right"
openrouter,14,5,Church too high,110,10,55,25,110.0,10.0,55.0,25.0,110.0,10.0,55.0,25.0,110.0,10.0,55.0,25.0,0.0,0.0,0.0,0.0,0,0,,"91,92,345,346,347","Left,Left,Left,Left,Right"
openrouter,15,6,Treasury too low,85,30,95,0,85.0,30.0,95.0,0.0,85.0,30.0,95.0,0.0,85.0,30.0,95.0,0.0,0.0,0.0,0.0,0.0,0,0,,"95,96,395,396,37,38","Right,Left,Left,Right,Right,Left"
openrouter,16,11,People too high,5,120,80,15,5.0,120.0,80.0,15.0,5.0,120.0,80.0,15.0,5.0,120.0,80.0,15.0,0.0,0.0,0.0,0.0,0,0,,"79,80,75,76,171,172,155,156,257,258,177","Right,Left,Left,Right,Right,Left,Left,Right,Right,Right,Right"
openrouter,17,7,Church too high,100,30,65,15,100.0,30.0,65.0,15.0,100.0,30.0,65.0,15.0,100.0,30.0,65.0,15.0,0.0,0.0,0.0,0.0,0,0,,"55,56,209,210,45,46,273","Right,Left,Left,Left,Left,Right,Left"
openrouter,18,5,Military too high,50,25,120,-15,50.0,25.0,120.0,-15.0,50.0,25.0,120.0,-15.0,50.0,25.0,120.0,-15.0,0.0,0.0,0.0,0.0,0,0,,"243,244,15,16,316","Right,Right,Left,Left,Right"
openrouter,19,4,Military too high,45,55,125,-5,45.0,55.0,125.0,-5.0,45.0,55.0,125.0,-5.0,45.0,55.0,125.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"59,60,249,250","Right,Left,Left,Right"
openrouter,20,6,Military too high,75,70,100,10,75.0,70.0,100.0,10.0,75.0,70.0,100.0,10.0,75.0,70.0,100.0,10.0,0.0,0.0,0.0,0.0,0,0,,"123,124,39,40,259,260","Left,Right,Left,Left,Right,Left"
openrouter,21,12,People too high,40,105,25,70,40.0,105.0,25.0,70.0,40.0,105.0,25.0,70.0,40.0,105.0,25.0,70.0,0.0,0.0,0.0,0.0,0,0,,"233,234,11,12,1,2,57,58,67,68,383,384","Right,Left,Left,Right,Left,Right,Left,Left,Left,Left,Right,Right"
openrouter,22,5,Treasury too low,75,65,60,0,75.0,65.0,60.0,0.0,75.0,65.0,60.0,0.0,75.0,65.0,60.0,0.0,0.0,0.0,0.0,0.0,0,0,,"297,298,139,140,271","Left,Right,Right,Left,Right"
openrouter,23,4,People too high,40,110,45,0,40.0,110.0,45.0,0.0,40.0,110.0,45.0,0.0,40.0,110.0,45.0,0.0,0.0,0.0,0.0,0.0,0,0,,"185,186,215,216","Right,Left,Right,Right"
openrouter,24,6,Treasury too low,15,90,50,-5,15.0,90.0,50.0,-5.0,15.0,90.0,50.0,-5.0,15.0,90.0,50.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"215,216,41,42,153,154","Left,Right,Left,Right,Right,Right"
openrouter,25,6,Church too high,100,35,55,15,100.0,35.0,55.0,15.0,100.0,35.0,55.0,15.0,100.0,35.0,55.0,15.0,0.0,0.0,0.0,0.0,0,0,,"37,38,109,110,91,92","Left,Left,Left,Left,Left,Left"
openrouter,26,4,Military too high,60,25,105,15,60.0,25.0,105.0,15.0,60.0,25.0,105.0,15.0,60.0,25.0,105.0,15.0,0.0,0.0,0.0,0.0,0,0,,"195,196,269,270","Left,Left,Right,Left"
openrouter,27,9,Military too high,65,45,100,0,65.0,45.0,100.0,0.0,65.0,45.0,100.0,0.0,65.0,45.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,,"75,76,41,42,338,339,175,176,159","Right,Left,Right,Left,Right,Left,Left,Right,Left"
openrouter,28,6,Treasury too low,40,50,80,-10,40.0,50.0,80.0,-10.0,40.0,50.0,80.0,-10.0,40.0,50.0,80.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"265,266,69,70,385,386","Right,Right,Left,Right,Left,Right"
openrouter,29,4,People too low,65,-5,65,55,65.0,-5.0,65.0,55.0,65.0,-5.0,65.0,55.0,65.0,-5.0,65.0,55.0,0.0,0.0,0.0,0.0,0,0,,"333,334,3,4","Left,Right,Left,Left"
openrouter,30,5,Treasury too low,25,65,75,-5,25.0,65.0,75.0,-5.0,25.0,65.0,75.0,-5.0,25.0,65.0,75.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"179,180,249,250,99","Right,Right,Left,Right,Left"
openrouter,31,5,Military too high,50,30,100,40,50.0,30.0,100.0,40.0,50.0,30.0,100.0,40.0,50.0,30.0,100.0,40.0,0.0,0.0,0.0,0.0,0,0,,"145,146,247,248,333","Left,Left,Right,Left,Right"
openrouter,32,3,Church too high,105,10,75,40,105.0,10.0,75.0,40.0,105.0,10.0,75.0,40.0,105.0,10.0,75.0,40.0,0.0,0.0,0.0,0.0,0,0,,"219,220,221","Left,Left,Left"
openrouter,33,2,People too high,35,105,45,5,35.0,105.0,45.0,5.0,35.0,105.0,45.0,5.0,35.0,105.0,45.0,5.0,0.0,0.0,0.0,0.0,0,0,,"223,224","Right,Right"
openrouter,34,3,Military too high,55,10,110,0,55.0,10.0,110.0,0.0,55.0,10.0,110.0,0.0,55.0,10.0,110.0,0.0,0.0,0.0,0.0,0.0,0,0,,"107,108,301","Left,Left,Right"
