strategy,run_id,turns_survived,end_reason,final_church,final_people,final_military,final_treasury,min_church,min_people,min_military,min_treasury,max_church,max_people,max_military,max_treasury,avg_church,avg_people,avg_military,avg_treasury,std_church,std_people,std_military,std_treasury,left_choices,right_choices,risky_card,card_sequence,choice_sequence
openrouter,1,4,People too low,90,-10,70,45,90.0,-10.0,70.0,45.0,90.0,-10.0,70.0,45.0,90.0,-10.0,70.0,45.0,0.0,0.0,0.0,0.0,0,0,,"328,329,267,268","Left,Left,Left,Left"
openrouter,2,8,Treasury too low,35,85,80,-10,35.0,85.0,80.0,-10.0,35.0,85.0,80.0,-10.0,35.0,85.0,80.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"11,12,265,266,85,86,229,230","Left,Right,Right,Right,Left,Right,Left,Right"
openrouter,3,3,People too high,45,105,45,-10,45.0,105.0,45.0,-10.0,45.0,105.0,45.0,-10.0,45.0,105.0,45.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"299,300,389","Right,Left,Right"
openrouter,4,2,Church too high,105,-5,65,25,105.0,-5.0,65.0,25.0,105.0,-5.0,65.0,25.0,105.0,-5.0,65.0,25.0,0.0,0.0,0.0,0.0,0,0,,"37,38","Right,Right"
openrouter,5,9,Military too high,60,30,105,-5,60.0,30.0,105.0,-5.0,60.0,30.0,105.0,-5.0,60.0,30.0,105.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"77,78,195,196,326,327,304,305,306","Left,Left,Left,Left,Left,Right,Right,Left,Right"
openrouter,6,3,People too high,10,120,40,-5,10.0,120.0,40.0,-5.0,10.0,120.0,40.0,-5.0,10.0,120.0,40.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"229,230,155","Right,Right,Right"
openrouter,7,3,People too high,30,115,50,15,30.0,115.0,50.0,15.0,30.0,115.0,50.0,15.0,30.0,115.0,50.0,15.0,0.0,0.0,0.0,0.0,0,0,,"340,341,342","Right,Right,Right"
openrouter,8,6,People too high,20,115,40,-15,20.0,115.0,40.0,-15.0,20.0,115.0,40.0,-15.0,20.0,115.0,40.0,-15.0,0.0,0.0,0.0,0.0,0,0,,"11,12,387,388,225,226","Right,Right,Left,Right,Right,Right"
openrouter,9,8,Treasury too low,60,75,70,0,60.0,75.0,70.0,0.0,60.0,75.0,70.0,0.0,60.0,75.0,70.0,0.0,0.0,0.0,0.0,0.0,0,0,,"53,54,348,349,350,391,392,321","Right,Left,Left,Right,Right,Left,Left,Right"
openrouter,10,3,Treasury too low,60,50,55,-10,60.0,50.0,55.0,-10.0,60.0,50.0,55.0,-10.0,60.0,50.0,55.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"338,339,251","Left,Left,Right"
openrouter,11,8,Treasury too low,50,85,45,-10,50.0,85.0,45.0,-10.0,50.0,85.0,45.0,-10.0,50.0,85.0,45.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"221,222,397,398,231,232,235,236","Left,Right,Left,Right,Left,Right,Right,Left"
openrouter,12,5,People too high,20,105,50,35,20.0,105.0,50.0,35.0,20.0,105.0,50.0,35.0,20.0,105.0,50.0,35.0,0.0,0.0,0.0,0.0,0,0,,"333,334,15,16,313","Left,Left,Right,Right,Right"
openrouter,13,5,Treasury too low,25,55,95,0,25.0,55.0,95.0,0.0,25.0,55.0,95.0,0.0,25.0,55.0,95.0,0.0,0.0,0.0,0.0,0.0,0,0,,"153,154,335,336,337","Right,Right,Left,Left,Right"
openrouter,14,10,Church too low,0,95,45,5,0.0,95.0,45.0,5.0,0.0,95.0,45.0,5.0,0.0,95.0,45.0,5.0,0.0,0.0,0.0,0.0,0,0,,"5,6,215,216,323,324,325,328,329,139","Right,Right,Left,Right,Right,Right,Left,Left,Right,Right"
openrouter,15,5,Treasury too low,75,60,85,0,75.0,60.0,85.0,0.0,75.0,60.0,85.0,0.0,75.0,60.0,85.0,0.0,0.0,0.0,0.0,0.0,0,0,,"273,274,301,302,303","Left,Left,Left,Right,Right"
openrouter,16,2,People too low,65,-5,75,35,65.0,-5.0,75.0,35.0,65.0,-5.0,75.0,35.0,65.0,-5.0,75.0,35.0,0.0,0.0,0.0,0.0,0,0,,"165,166","Left,Left"
openrouter,17,9,Treasury too low,60,55,95,-15,60.0,55.0,95.0,-15.0,60.0,55.0,95.0,-15.0,60.0,55.0,95.0,-15.0,0.0,0.0,0.0,0.0,0,0,,"375,376,63,64,109,110,310,311,312","Right,Right,Left,Left,Left,Left,Left,Right,Right"
openrouter,18,11,Church too high,100,0,40,20,100.0,0.0,40.0,20.0,100.0,0.0,40.0,20.0,100.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0,0,,"223,224,313,314,315,261,262,83,84,157,158","Left,Right,Left,Left,Right,Left,Left,Left,Left,Left,Left"
openrouter,19,7,Military too high,35,25,105,35,35.0,25.0,105.0,35.0,35.0,25.0,105.0,35.0,35.0,25.0,105.0,35.0,0.0,0.0,0.0,0.0,0,0,,"241,242,279,280,247,248,209","Left,Left,Left,Left,Right,Left,Right"
openrouter,20,9,People too low,80,0,70,45,80.0,0.0,70.0,45.0,80.0,0.0,70.0,45.0,80.0,0.0,70.0,45.0,0.0,0.0,0.0,0.0,0,0,,"163,164,343,344,397,398,333,334,267","Left,Left,Left,Right,Right,Left,Left,Right,Left"
openrouter,21,8,Treasury too low,85,10,85,-5,85.0,10.0,85.0,-5.0,85.0,10.0,85.0,-5.0,85.0,10.0,85.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"345,346,347,195,196,129,130,275","Left,Right,Left,Right,Left,Left,Left,Right"
openrouter,22,5,Military too high,30,75,105,0,30.0,75.0,105.0,0.0,30.0,75.0,105.0,0.0,30.0,75.0,105.0,0.0,0.0,0.0,0.0,0.0,0,0,,"253,254,67,68,61","Right,Right,Left,Right,Left"
openrouter,23,8,Treasury too low,65,60,55,-10,65.0,60.0,55.0,-10.0,65.0,60.0,55.0,-10.0,65.0,60.0,55.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"143,144,109,110,41,42,251,252","Left,Right,Left,Left,Left,Right,Left,Right"
openrouter,24,2,Church too high,100,25,40,35,100.0,25.0,40.0,35.0,100.0,25.0,40.0,35.0,100.0,25.0,40.0,35.0,0.0,0.0,0.0,0.0,0,0,,"33,34","Right,Right"
openrouter,25,5,Treasury too low,85,45,85,-10,85.0,45.0,85.0,-10.0,85.0,45.0,85.0,-10.0,85.0,45.0,85.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"149,150,310,311,312","Left,Left,Right,Left,Right"
openrouter,26,5,Treasury too low,60,30,90,0,60.0,30.0,90.0,0.0,60.0,30.0,90.0,0.0,60.0,30.0,90.0,0.0,0.0,0.0,0.0,0.0,0,0,,"131,132,91,92,173","Right,Right,Left,Left,Right"
openrouter,27,6,Church too high,100,20,60,15,100.0,20.0,60.0,15.0,100.0,20.0,60.0,15.0,100.0,20.0,60.0,15.0,0.0,0.0,0.0,0.0,0,0,,"191,192,77,78,345,346","Left,Right,Right,Left,Right,Right"
