strategy,run_id,turns_survived,end_reason,final_church,final_people,final_military,final_treasury,min_church,min_people,min_military,min_treasury,max_church,max_people,max_military,max_treasury,avg_church,avg_people,avg_military,avg_treasury,std_church,std_people,std_military,std_treasury,left_choices,right_choices,risky_card,card_sequence,choice_sequence
openrouter,1,10,Treasury too low,75,85,85,0,75.0,85.0,85.0,0.0,75.0,85.0,85.0,0.0,75.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0,0,,"3,4,9,10,173,174,101,102,316,317","Left,Right,Left,Right,Left,Left,Left,Right,Left,Left"
openrouter,2,6,Church too high,100,5,85,15,100.0,5.0,85.0,15.0,100.0,5.0,85.0,15.0,100.0,5.0,85.0,15.0,0.0,0.0,0.0,0.0,0,0,,"383,384,9,10,135,136","Left,Left,Right,Left,Left,Left"
openrouter,3,5,People too low,80,-15,65,50,80.0,-15.0,65.0,50.0,80.0,-15.0,65.0,50.0,80.0,-15.0,65.0,50.0,0.0,0.0,0.0,0.0,0,0,,"71,72,345,346,347","Left,Left,Left,Left,Right"
openrouter,4,9,Church too high,105,5,45,0,105.0,5.0,45.0,0.0,105.0,5.0,45.0,0.0,105.0,5.0,45.0,0.0,0.0,0.0,0.0,0.0,0,0,,"73,74,221,222,399,400,330,331,332","Right,Right,Left,Right,Left,Left,Left,Right,Left"
openrouter,5,2,People too high,35,100,45,20,35.0,100.0,45.0,20.0,35.0,100.0,45.0,20.0,35.0,100.0,45.0,20.0,0.0,0.0,0.0,0.0,0,0,,"277,278","Right,Right"
openrouter,6,5,Treasury too low,50,95,65,0,50.0,95.0,65.0,0.0,50.0,95.0,65.0,0.0,50.0,95.0,65.0,0.0,0.0,0.0,0.0,0.0,0,0,,"375,376,287,288,283","Right,Right,Left,Left,Right"
openrouter,7,6,Military too high,60,10,100,10,60.0,10.0,100.0,10.0,60.0,10.0,100.0,10.0,60.0,10.0,100.0,10.0,0.0,0.0,0.0,0.0,0,0,,"373,374,43,44,3,4","Left,Right,Right,Left,Left,Left"
openrouter,8,6,Military too high,60,45,110,0,60.0,45.0,110.0,0.0,60.0,45.0,110.0,0.0,60.0,45.0,110.0,0.0,0.0,0.0,0.0,0.0,0,0,,"43,44,51,52,316,317","Left,Left,Left,Right,Right,Left"
openrouter,9,3,People too high,20,100,50,30,20.0,100.0,50.0,30.0,20.0,100.0,50.0,30.0,20.0,100.0,50.0,30.0,0.0,0.0,0.0,0.0,0,0,,"85,86,151","Right,Right,Right"
openrouter,10,3,Treasury too low,75,50,55,-10,75.0,50.0,55.0,-10.0,75.0,50.0,55.0,-10.0,75.0,50.0,55.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"348,349,350","Right,Left,Left"
openrouter,11,5,Church too high,105,15,45,15,105.0,15.0,45.0,15.0,105.0,15.0,45.0,15.0,105.0,15.0,45.0,15.0,0.0,0.0,0.0,0.0,0,0,,"330,331,332,373,374","Left,Right,Left,Left,Left"
openrouter,12,5,Treasury too low,40,75,65,-15,40.0,75.0,65.0,-15.0,40.0,75.0,65.0,-15.0,40.0,75.0,65.0,-15.0,0.0,0.0,0.0,0.0,0,0,,"389,390,207,208,147","Right,Left,Left,Right,Right"
openrouter,13,4,Military too high,35,45,110,-15,35.0,45.0,110.0,-15.0,35.0,45.0,110.0,-15.0,35.0,45.0,110.0,-15.0,0.0,0.0,0.0,0.0,0,0,,"137,138,193,194","Left,Right,Right,Right"
openrouter,14,4,People too high,25,105,40,10,25.0,105.0,40.0,10.0,25.0,105.0,40.0,10.0,25.0,105.0,40.0,10.0,0.0,0.0,0.0,0.0,0,0,,"231,232,155,156","Right,Right,Left,Right"
openrouter,15,6,Church too high,115,10,60,-10,115.0,10.0,60.0,-10.0,115.0,10.0,60.0,-10.0,115.0,10.0,60.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"387,388,399,400,37,38","Left,Left,Right,Right,Right,Right"
openrouter,16,7,Military too high,25,70,100,40,25.0,70.0,100.0,40.0,25.0,70.0,100.0,40.0,25.0,70.0,100.0,40.0,0.0,0.0,0.0,0.0,0,0,,"93,94,15,16,335,336,337","Right,Right,Right,Left,Left,Right,Right"
